"","job.id","problem","algorithm","rsquared","opt","n","cat_variables","num_levels","effect_size","outcome","learner","dummy_enc"
"93","93","DAG_cat_data","validation","0.195056727827285","0.385160106750265","500","c(""X1"", ""X3"")","10","c(x1x4 = 0.5, x2x3 = 0.5, x3y = 0.5, x4y = 0.5)","regr","ranger","TRUE"
"94","94","DAG_cat_data","validation","0.0472983279394984","0.170785327603226","500","c(""X1"", ""X3"")","10","c(x1x4 = 0.5, x2x3 = 0.5, x3y = 0.5, x4y = 0.5)","regr","ranger","TRUE"
"95","95","DAG_cat_data","validation","0.246493616738691","0.284840762514055","500","c(""X1"", ""X3"")","10","c(x1x4 = 0.5, x2x3 = 0.5, x3y = 0.5, x4y = 0.5)","regr","ranger","TRUE"
"96","96","DAG_cat_data","validation","0.195597481381187","0.211960362129816","500","c(""X1"", ""X3"")","10","c(x1x4 = 0.5, x2x3 = 0.5, x3y = 0.5, x4y = 0.5)","regr","ranger","TRUE"
"97","97","DAG_cat_data","validation","0.229221942642655","0.363002122412241","500","c(""X1"", ""X3"")","10","c(x1x4 = 0.5, x2x3 = 0.5, x3y = 0.5, x4y = 0.5)","regr","ranger","TRUE"
"98","98","DAG_cat_data","validation","0.267716230734963","0.25714975273188","500","c(""X1"", ""X3"")","10","c(x1x4 = 0.5, x2x3 = 0.5, x3y = 0.5, x4y = 0.5)","regr","ranger","TRUE"
"99","99","DAG_cat_data","validation","0.163170617695644","0.324567242873712","500","c(""X1"", ""X3"")","10","c(x1x4 = 0.5, x2x3 = 0.5, x3y = 0.5, x4y = 0.5)","regr","ranger","TRUE"
"100","100","DAG_cat_data","validation","0.108581929088678","0.1556401751923","500","c(""X1"", ""X3"")","10","c(x1x4 = 0.5, x2x3 = 0.5, x3y = 0.5, x4y = 0.5)","regr","ranger","TRUE"
"101","101","DAG_cat_data","validation","0.0554612347085844","0.211561268735235","500","c(""X1"", ""X3"")","10","c(x1x4 = 0.5, x2x3 = 0.5, x3y = 0.5, x4y = 0.5)","regr","ranger","TRUE"
"102","102","DAG_cat_data","validation","0.223962796274996","0.177487454988446","500","c(""X1"", ""X3"")","10","c(x1x4 = 0.5, x2x3 = 0.5, x3y = 0.5, x4y = 0.5)","regr","ranger","TRUE"
"103","103","DAG_cat_data","validation","0.166281416026683","0.0987190361772979","500","c(""X1"", ""X3"")","10","c(x1x4 = 0.5, x2x3 = 0.5, x3y = 0.5, x4y = 0.5)","regr","ranger","TRUE"
"104","104","DAG_cat_data","validation","0.123703047739927","0.287943423871799","500","c(""X1"", ""X3"")","10","c(x1x4 = 0.5, x2x3 = 0.5, x3y = 0.5, x4y = 0.5)","regr","ranger","TRUE"
"105","105","DAG_cat_data","validation","0.0385359267576302","0.108514070226597","500","c(""X1"", ""X3"")","10","c(x1x4 = 0.5, x2x3 = 0.5, x3y = 0.5, x4y = 0.5)","regr","ranger","TRUE"
"106","106","DAG_cat_data","validation","0.217622050118527","0.251559538281597","500","c(""X1"", ""X3"")","10","c(x1x4 = 0.5, x2x3 = 0.5, x3y = 0.5, x4y = 0.5)","regr","ranger","TRUE"
"107","107","DAG_cat_data","validation","0.238630817959487","0.172320720986984","500","c(""X1"", ""X3"")","10","c(x1x4 = 0.5, x2x3 = 0.5, x3y = 0.5, x4y = 0.5)","regr","ranger","TRUE"
"108","108","DAG_cat_data","validation","0.218218854554585","0.151678163051284","500","c(""X1"", ""X3"")","10","c(x1x4 = 0.5, x2x3 = 0.5, x3y = 0.5, x4y = 0.5)","regr","ranger","TRUE"
"109","109","DAG_cat_data","validation","0.209163484373196","0.225385837910036","500","c(""X1"", ""X3"")","10","c(x1x4 = 0.5, x2x3 = 0.5, x3y = 0.5, x4y = 0.5)","regr","ranger","TRUE"
"110","110","DAG_cat_data","validation","0.263421231349848","0.438074751853599","500","c(""X1"", ""X3"")","10","c(x1x4 = 0.5, x2x3 = 0.5, x3y = 0.5, x4y = 0.5)","regr","ranger","TRUE"
"111","111","DAG_cat_data","validation","0.184494694116462","0.366681865270223","500","c(""X1"", ""X3"")","10","c(x1x4 = 0.5, x2x3 = 0.5, x3y = 0.5, x4y = 0.5)","regr","ranger","TRUE"
"112","112","DAG_cat_data","validation","0.0498979365736693","0.25984239169764","500","c(""X1"", ""X3"")","10","c(x1x4 = 0.5, x2x3 = 0.5, x3y = 0.5, x4y = 0.5)","regr","ranger","TRUE"
"113","113","DAG_cat_data","validation","0.287613823552253","0.347225017163106","500","c(""X1"", ""X3"")","10","c(x1x4 = 0.5, x2x3 = 0.5, x3y = 0.5, x4y = 0.5)","regr","ranger","TRUE"
"114","114","DAG_cat_data","validation","0.175080366438746","0.362615186609026","500","c(""X1"", ""X3"")","10","c(x1x4 = 0.5, x2x3 = 0.5, x3y = 0.5, x4y = 0.5)","regr","ranger","TRUE"
"115","115","DAG_cat_data","validation","0.105061959696281","0.289839269473153","500","c(""X1"", ""X3"")","10","c(x1x4 = 0.5, x2x3 = 0.5, x3y = 0.5, x4y = 0.5)","regr","ranger","TRUE"
"116","116","DAG_cat_data","validation","0.137829491248858","0.217930128792673","500","c(""X1"", ""X3"")","10","c(x1x4 = 0.5, x2x3 = 0.5, x3y = 0.5, x4y = 0.5)","regr","ranger","TRUE"
"117","117","DAG_cat_data","validation","0.1400330261246","0.319450483639069","500","c(""X1"", ""X3"")","10","c(x1x4 = 0.5, x2x3 = 0.5, x3y = 0.5, x4y = 0.5)","regr","ranger","TRUE"
"118","118","DAG_cat_data","validation","0.275536678876582","0.321766984233714","500","c(""X1"", ""X3"")","10","c(x1x4 = 0.5, x2x3 = 0.5, x3y = 0.5, x4y = 0.5)","regr","ranger","TRUE"
"119","119","DAG_cat_data","validation","0.0952482374423126","0.198327523368799","500","c(""X1"", ""X3"")","10","c(x1x4 = 0.5, x2x3 = 0.5, x3y = 0.5, x4y = 0.5)","regr","ranger","TRUE"
"120","120","DAG_cat_data","validation","0.183700789142862","0.28057920269734","500","c(""X1"", ""X3"")","10","c(x1x4 = 0.5, x2x3 = 0.5, x3y = 0.5, x4y = 0.5)","regr","ranger","TRUE"
"121","121","DAG_cat_data","validation","0.175492305803982","0.242191759046538","500","c(""X1"", ""X3"")","10","c(x1x4 = 0.5, x2x3 = 0.5, x3y = 0.5, x4y = 0.5)","regr","ranger","TRUE"
"122","122","DAG_cat_data","validation","0.156271139241671","0.086068540209936","500","c(""X1"", ""X3"")","10","c(x1x4 = 0.5, x2x3 = 0.5, x3y = 0.5, x4y = 0.5)","regr","ranger","TRUE"
"123","123","DAG_cat_data","validation","0.161731308251959","0.296158833805678","500","c(""X1"", ""X3"")","10","c(x1x4 = 0.5, x2x3 = 0.5, x3y = 0.5, x4y = 0.5)","regr","ranger","TRUE"
"124","124","DAG_cat_data","validation","0.175740258995556","0.237155824665831","500","c(""X1"", ""X3"")","10","c(x1x4 = 0.5, x2x3 = 0.5, x3y = 0.5, x4y = 0.5)","regr","ranger","TRUE"
"125","125","DAG_cat_data","validation","0.141019194031707","0.172032162225388","500","c(""X1"", ""X3"")","10","c(x1x4 = 0.5, x2x3 = 0.5, x3y = 0.5, x4y = 0.5)","regr","ranger","TRUE"
"126","126","DAG_cat_data","validation","0.215241195113234","0.202831389754984","500","c(""X1"", ""X3"")","10","c(x1x4 = 0.5, x2x3 = 0.5, x3y = 0.5, x4y = 0.5)","regr","ranger","TRUE"
