"","variable","value","Var1"
"193","G",-0.0407171891819873,"CPI"
"194","G",-0.0433816942072766,"CPI"
"195","G",-0.00801545842330582,"CPI"
"196","G",-0.0102186465864765,"CPI"
"197","G",0.0405978307356977,"CPI"
"198","G",0.00661582558385893,"CPI"
"199","G",-0.0168597621249024,"CPI"
"200","G",-0.0610418332463502,"CPI"
"201","G",-0.0473955619142726,"CPI"
"202","G",-0.0477298759220816,"CPI"
"203","G",-0.0027424819693697,"CPI"
"204","G",-0.0334465434547429,"CPI"
"205","G",-0.141645866997989,"CPI"
"206","G",0.0472102004378512,"CPI"
"207","G",-0.0016579212763751,"CPI"
"208","G",0.104023748530709,"CPI"
"209","G",0.0620121859772891,"CPI"
"210","G",-0.0610286026863848,"CPI"
"211","G",0.0716002621107584,"CPI"
"212","G",0.0676342522212549,"CPI"
"213","G",0.0184921236150346,"CPI"
"214","G",-0.0114187843880546,"CPI"
"215","G",-0.14509149784258,"CPI"
"216","G",0.0369089457780405,"CPI"
"217","G",0.0555544425598553,"CPI"
"218","G",0.118889275127362,"CPI"
"219","G",-0.036900210886272,"CPI"
"220","G",0.0126648717538336,"CPI"
"221","G",0.0353446737050843,"CPI"
"222","G",-0.0468283165840947,"CPI"
"223","G",0.0650454799940535,"CPI"
"224","G",0.0313776601404282,"CPI"
"225","G",0.0267689537061454,"CPI"
"226","G",-0.0357064896162017,"CPI"
"227","G",-0.0314288482835909,"CPI"
"228","G",-0.103745386618113,"CPI"
"229","G",-0.063975158369699,"CPI"
"230","G",-0.0583428091542952,"CPI"
"231","G",-0.025611017433302,"CPI"
"232","G",0.00528005683364207,"CPI"
"233","G",-0.0528024640021916,"CPI"
"234","G",-0.0503614045936475,"CPI"
"235","G",-0.105866324992342,"CPI"
"236","G",-0.0289504358393647,"CPI"
"237","G",-0.0070736378445907,"CPI"
"238","G",0.065107055485396,"CPI"
"239","G",0.0301255006716811,"CPI"
"240","G",0.0589267334182231,"CPI"
"241","G",-0.0450939610774457,"CPI"
"242","G",0.00599624321531274,"CPI"
"243","G",0.010115208025363,"CPI"
"244","G",0.0376858239087773,"CPI"
"245","G",-0.0150741041240898,"CPI"
"246","G",0.0097063201413543,"CPI"
"247","G",0.0291600295931021,"CPI"
"248","G",0.0183503337598968,"CPI"
"249","G",0.0946248885405164,"CPI"
"250","G",0.0757091022852417,"CPI"
"251","G",0.0154137788192173,"CPI"
"252","G",-0.0100197211994814,"CPI"
"253","G",0.017685401863564,"CPI"
"254","G",0.0154935625522832,"CPI"
"255","G",-0.00395268439862074,"CPI"
"256","G",0.00574231468228058,"CPI"
"257","G",-0.0372203675096314,"CPI"
"258","G",-0.0678632500805647,"CPI"
"259","G",0.0401933357584815,"CPI"
"260","G",0.0423506066209128,"CPI"
"261","G",-0.0926550992030884,"CPI"
"262","G",-0.0192734485935885,"CPI"
"263","G",-0.000553669266768794,"CPI"
"264","G",0.0886347895053332,"CPI"
"265","G",0.0130895525062362,"CPI"
"266","G",-0.00356007456796448,"CPI"
"267","G",0.165884718971701,"CPI"
"268","G",0.0166786166581217,"CPI"
"269","G",-0.188764166713941,"CPI"
"270","G",0.00421980575370109,"CPI"
"271","G",0.0461667370075158,"CPI"
"272","G",-0.0336533032362445,"CPI"
"273","G",0.0165865779902668,"CPI"
"274","G",0.104747053959237,"CPI"
"275","G",-0.0311339627087232,"CPI"
"276","G",-0.0615691972124206,"CPI"
"277","G",-0.0742168499341487,"CPI"
"278","G",-0.0371902546418021,"CPI"
"279","G",-0.119019033530477,"CPI"
"280","G",-0.000374975181836753,"CPI"
"281","G",0.00916646482372626,"CPI"
"282","G",0.00406107596519129,"CPI"
"283","G",-0.0614554372002685,"CPI"
"284","G",-0.0200016565131736,"CPI"
"285","G",-0.0382038961282903,"CPI"
"286","G",0.0114903887110204,"CPI"
"287","G",-0.0271641897299549,"CPI"
"288","G",0.0969243724549443,"CPI"
"289","G",0.0566328097353089,"CPI"
"290","G",-0.00285077902145894,"CPI"
"291","G",0.049986082051604,"CPI"
"292","G",0.0204812184165898,"CPI"
"293","G",0.0321095048249335,"CPI"
"294","G",0.0321207385172622,"CPI"
"295","G",0.016813380397163,"CPI"
"296","G",0.0027842407705327,"CPI"
"297","G",-0.0290822249377626,"CPI"
"298","G",0.0218889660612272,"CPI"
"299","G",-0.0612235806830769,"CPI"
"300","G",-0.0386794480310219,"CPI"
"301","G",-0.0157854930468891,"CPI"
"302","G",0.00107298767606674,"CPI"
"303","G",-0.00238785769145951,"CPI"
"304","G",-0.0106556891253293,"CPI"
"305","G",-0.0541138085071827,"CPI"
"306","G",-0.00311941244756048,"CPI"
"307","G",0.0103695416511257,"CPI"
"308","G",0.0226465217352483,"CPI"
"309","G",0.0188191330015639,"CPI"
"310","G",0.0194206179579716,"CPI"
"311","G",0.0550671233663535,"CPI"
"312","G",-0.00923637599188804,"CPI"
"313","G",0.00728006405114829,"CPI"
"314","G",-0.00266214656119589,"CPI"
"315","G",0.0576307359480689,"CPI"
"316","G",-0.0459439836912467,"CPI"
"317","G",0.0836091282262416,"CPI"
"318","G",-0.00501384343726326,"CPI"
"319","G",-0.00613115194847026,"CPI"
"320","G",-0.0982036963938915,"CPI"
"321","G",-0.0682111105326831,"CPI"
"322","G",0.00494342016026021,"CPI"
"323","G",-0.0266178876832748,"CPI"
"324","G",-0.024924481202021,"CPI"
"325","G",-0.0301682448466807,"CPI"
"326","G",-0.131277459940601,"CPI"
"327","G",-0.0203382697550711,"CPI"
"328","G",-0.022478870591425,"CPI"
"329","G",-0.0172057947397493,"CPI"
"330","G",-0.00637764122557319,"CPI"
"331","G",-0.0831289992746041,"CPI"
"332","G",0.085224969516712,"CPI"
"333","G",-0.0627933595649663,"CPI"
"334","G",-0.0230983421558211,"CPI"
"335","G",-0.054591811702435,"CPI"
"336","G",0.0256050655727524,"CPI"
"337","G",0.130153924800838,"CPI"
"338","G",-0.113874838251354,"CPI"
"339","G",0.0140036460942579,"CPI"
"340","G",0.0349125470769889,"CPI"
"341","G",0.00163568562261024,"CPI"
"342","G",-0.00977032459141465,"CPI"
"343","G",-0.0484071768505155,"CPI"
"344","G",0.0105665311592119,"CPI"
"345","G",0.0880482985673352,"CPI"
"346","G",-0.0205903890037578,"CPI"
"347","G",-0.0255189459800338,"CPI"
"348","G",-0.0176555865426266,"CPI"
"349","G",-0.00685492241194394,"CPI"
"350","G",0.038313173325222,"CPI"
"351","G",-0.00989670156033946,"CPI"
"352","G",-0.0776211760836986,"CPI"
"353","G",0.130669052777919,"CPI"
"354","G",0.0346601175576006,"CPI"
"355","G",0.0694768228552101,"CPI"
"356","G",0.0978113304728856,"CPI"
"357","G",0.0212368914520816,"CPI"
"358","G",-0.0774128590697478,"CPI"
"359","G",-0.0386462029290883,"CPI"
"360","G",0.0554508425615578,"CPI"
"361","G",0.0499453434206336,"CPI"
"362","G",-0.0115532444677507,"CPI"
"363","G",0.00788395957875082,"CPI"
"364","G",0.112863375861586,"CPI"
"365","G",0.0370861303940685,"CPI"
"366","G",0.0185657681761772,"CPI"
"367","G",-0.0087712107292113,"CPI"
"368","G",-0.085287487710133,"CPI"
"369","G",0.00955484369876406,"CPI"
"370","G",0.0762373582318892,"CPI"
"371","G",-0.0338605835865549,"CPI"
"372","G",-0.0324348877350791,"CPI"
"373","G",-0.0591394500359867,"CPI"
"374","G",0.120444739619538,"CPI"
"375","G",-0.0183341006871951,"CPI"
"376","G",-0.00108525730681816,"CPI"
"377","G",-0.0267387421947532,"CPI"
"378","G",0.0390068980590986,"CPI"
