"","Var1","Var2","value"
"208","CPI","X1",0.00820145116353143
"209","CPI","X1",0.0929917424114388
"210","CPI","X1",0.189314982817718
"211","CPI","X1",0.0322630463303367
"212","CPI","X1",0.0124932921399345
"213","CPI","X1",0.0613061133223454
"214","CPI","X1",-0.195172960727915
"215","CPI","X1",-0.0726378179456545
"216","CPI","X1",0.132561539318836
"217","CPI","X1",0.210395303530984
"218","CPI","X1",-0.0557631710360615
"219","CPI","X1",0.217279190682735
"220","CPI","X1",-0.10895115248893
"221","CPI","X1",-0.278082181660204
"222","CPI","X1",0.0499452488855883
"223","CPI","X1",0.385667045846194
"224","CPI","X1",-0.0474941011572998
"225","CPI","X1",0.255185101859391
"226","CPI","X1",-0.451031397954385
"227","CPI","X1",-0.360059516669471
"228","CPI","X1",0.0151702174468352
"229","CPI","X1",-0.123909507864231
"230","CPI","X1",0.146336979357054
"231","CPI","X1",0.0196349611651353
"232","CPI","X1",-0.0082680905329602
"233","CPI","X1",-0.0710802681397099
"234","CPI","X1",0.159332285771697
"235","CPI","X1",-0.00153947333805636
"236","CPI","X1",-0.473055509943208
"237","CPI","X1",0.200236211212098
"238","CPI","X1",0.0176574006822562
"239","CPI","X1",0.108344098556083
"240","CPI","X1",0.281296350636886
"241","CPI","X1",-0.187919225697145
"242","CPI","X1",0.126110767498496
"243","CPI","X1",-0.14088319043302
"244","CPI","X1",0.106836160268614
"245","CPI","X1",-0.303909835000734
"246","CPI","X1",0.0132879361232385
"247","CPI","X1",-0.00227144943666321
"248","CPI","X1",-0.162747516451377
"249","CPI","X1",-0.0745015679194626
"250","CPI","X1",-0.171398959406926
"251","CPI","X1",0.116041503181158
"252","CPI","X1",-0.251243342517924
"253","CPI","X1",0.157223792546047
"254","CPI","X1",-0.18393716107146
"255","CPI","X1",0.162519182195587
"256","CPI","X1",-0.00273310326875525
"257","CPI","X1",0.0160393801994259
"258","CPI","X1",-0.165883478171503
"259","CPI","X1",-0.0248248737064175
"260","CPI","X1",0.14976271869969
"261","CPI","X1",0.174742917477026
"262","CPI","X1",0.321370550605034
"263","CPI","X1",0.0847695144166239
"264","CPI","X1",0.263022176596588
"265","CPI","X1",-0.00770912080547428
"266","CPI","X1",-0.106837504533443
"267","CPI","X1",-0.165822811606781
"268","CPI","X1",-0.123295892037243
"269","CPI","X1",0.0838179370284691
"270","CPI","X1",0.229748832997834
"271","CPI","X1",-0.167706584526994
"272","CPI","X1",0.0292929062733401
"273","CPI","X1",-0.50795465461579
"274","CPI","X1",0.00224814766502042
"275","CPI","X1",-0.0935632288108118
"276","CPI","X1",0.102376133893132
"277","CPI","X1",-0.0234091547600348
"278","CPI","X1",0.067476794753954
"279","CPI","X1",0.174600327767446
"280","CPI","X1",-0.355019053386763
"281","CPI","X1",0.0995145804001542
"282","CPI","X1",0.455575156084218
"283","CPI","X1",0.218314539660922
